title,city,price,year,engine_vol,transmission,body_style,drive_type,fuel
Toyota Tundra,Almaty,13900000,2009,4.6,automatic,other,other,petrol
Voyah Free,Almaty,17000000,2025,1.5,automatic,кроссовер,other,other
BYD Song Plus Flagship 100 DM-i,Almaty,15299000,2025,1.5,cvt,кроссовер,other,other
Toyota Land Cruiser Prado,Almaty,7800000,1996,3.0,automatic,внедорожник,other,diesel
Hyundai Sonata Elegance,Almaty,14700000,2024,2.5,automatic,седан,other,petrol
Audi RS 7,Almaty,24000000,2015,4.0,automatic,лифтбек,other,petrol
Nissan Patrol,Almaty,13800000,2012,5.6,automatic,внедорожник,other,petrol
Kia Rio,Almaty,1380000,2002,1.5,automatic,универсал,other,petrol
Toyota Prius,Almaty,3700000,2007,1.5,cvt,хэтчбек,other,other
Dodge Durango,Almaty,65000000,2021,6.2,automatic,внедорожник,other,petrol
Nissan Almera,Almaty,4070000,2014,1.6,automatic,седан,other,petrol
Hyundai Accent,Almaty,6700000,2020,1.4,automatic,седан,other,petrol
Ford Transit,Almaty,20000000,2025,2.0,manual,other,other,petrol
ВАЗ (Lada) Granta 2190,Almaty,2200000,2014,1.6,manual,седан,other,petrol
Lexus LS 500,Almaty,27000000,2018,3.4,automatic,седан,other,petrol
Toyota Camry,Almaty,5200000,2002,2.4,automatic,седан,other,petrol
Nissan Almera,Almaty,2000000,2001,1.8,automatic,седан,other,petrol
Toyota Land Cruiser,Almaty,36500000,2018,4.6,automatic,внедорожник,other,petrol
Land Rover Range Rover Sport,Almaty,30000000,2018,3.0,automatic,внедорожник,other,petrol
Changan CS55 Plus,Almaty,9800000,2025,1.5,robot,кроссовер,other,petrol
Toyota Land Cruiser Prado,Almaty,35500000,2021,4.0,automatic,внедорожник,other,petrol
Lexus RX 400h,Almaty,8500000,2008,3.3,cvt,кроссовер,other,other
EXEED TXL,Almaty,11000000,2023,2.0,robot,кроссовер,other,petrol
Hyundai Grandeur,Almaty,10700000,2019,2.4,automatic,седан,other,petrol
Deepal G318,Almaty,17900000,2025,1.5,automatic,внедорожник,other,other
Subaru Legacy,Almaty,3300000,2000,2.5,automatic,универсал,awd,petrol
Land Rover Range Rover,Almaty,25850000,2014,5.0,automatic,внедорожник,other,petrol
Mitsubishi Pajero,Almaty,8500000,2008,3.0,automatic,внедорожник,other,petrol
Haval F7x,Almaty,9500000,2021,2.0,robot,кроссовер,other,petrol
Mercedes-Benz G 63 AMG,Almaty,185000000,2025,4.0,automatic,внедорожник,other,petrol
Lamborghini Urus,Almaty,180000000,2021,4.0,automatic,кроссовер,other,petrol
Lexus LX 570,Almaty,20000000,2011,5.7,automatic,внедорожник,other,petrol
Toyota Camry,Almaty,4717000,2005,2.4,automatic,седан,other,petrol
Toyota Camry,Almaty,11000000,2019,2.5,automatic,седан,other,petrol
Volkswagen Caddy,Almaty,14000000,2020,1.6,manual,other,other,petrol
Toyota Sprinter Carib,Almaty,1500000,1996,1.6,automatic,универсал,other,petrol
BYD Yangwang U8,Almaty,57000000,2024,2.0,automatic,внедорожник,other,other
Mazda Tribute,Almaty,3200000,2002,3.0,automatic,кроссовер,other,petrol
Mazda Tribute,Almaty,4500000,2005,3.0,automatic,кроссовер,other,petrol
Nissan Qashqai,Almaty,8040000,2016,2.0,cvt,кроссовер,other,petrol
Subaru Outback,Almaty,10000000,2017,2.5,cvt,универсал,other,petrol
Land Rover Range Rover Sport,Almaty,8750000,2010,5.0,automatic,внедорожник,other,petrol
Volkswagen Touareg,Almaty,4100000,2004,3.2,automatic,кроссовер,other,petrol
BMW 730,Almaty,3000000,1995,3.0,automatic,седан,other,petrol
Nissan Cefiro,Almaty,1350000,1995,2.5,automatic,седан,other,petrol
Toyota Land Cruiser Prado,Almaty,4500000,1994,3.0,automatic,внедорожник,other,diesel
Kia Forte,Almaty,7300000,2019,2.0,cvt,седан,other,petrol
Mercedes-Benz E 350,Almaty,6500000,2012,3.5,automatic,купе,other,petrol
Daewoo Damas,Almaty,2200000,2005,0.8,manual,other,other,petrol
Toyota Land Cruiser,Almaty,33000000,2016,4.6,automatic,внедорожник,other,petrol
Nissan Cefiro,Almaty,2000000,1997,2.0,automatic,седан,other,petrol
ЗАЗ Vida,Almaty,3950000,2013,1.4,automatic,седан,other,petrol
Toyota RAV4,Almaty,4250000,2003,2.0,automatic,кроссовер,other,petrol
Changan CS55 Plus,Almaty,11000000,2026,1.5,robot,кроссовер,other,petrol
Subaru Outback,Almaty,15300000,2022,2.5,cvt,универсал,other,petrol
Toyota RAV4,Almaty,12200000,2016,2.0,cvt,кроссовер,other,petrol
BMW X7,Almaty,44000000,2020,3.0,automatic,кроссовер,other,petrol
Deepal S07,Almaty,13800000,2024,1.5,automatic,кроссовер,other,other
BYD Qin L DM-i Leading,Almaty,14690000,2025,1.5,automatic,седан,other,other
Changan Oshan X5,Almaty,6950000,2022,1.6,cvt,кроссовер,other,petrol
Isuzu TF (Pickup),Almaty,3650000,2008,2.6,manual,other,other,petrol
Hyundai Staria,Almaty,30000000,2024,3.5,robot,other,other,petrol
